Flight,Image,PassFail,X,Y
A320,000156.png,1,1101.23,617.002
A320,000157.png,1,1113.54,651.536
A320,000158.png,1,1104.69,648.454
A320,000159.png,1,1105.09,648.967
A320,000160.png,1,1106.64,649.534
A320,000161.png,1,1107.05,650.116
A320,000162.png,1,1107.62,677.044
A320,000163.png,0,,
A320,000164.png,1,1120.92,739.791
A320,000165.png,1,1095.44,766.393
A320,000166.png,1,1093.6,797.05
A320,000167.png,1,1093.58,814.827
A320,000168.png,0,,
A320,000169.png,1,1088.08,807.882
A320,000170.png,1,1099.41,843.083
A320,000171.png,0,,
A320,000172.png,1,1095.65,856.207
A320,000173.png,0,,
A320,000174.png,1,1097.36,853.114
A320,000175.png,0,,
A320,000176.png,0,,
A320,000177.png,1,1094.48,875.924
A320,000178.png,1,1096.01,882.946
A320,000179.png,0,,
A320,000180.png,1,1096.4,899.377
A320,000181.png,1,1097.71,905.211
A320,000182.png,1,1095.69,905.023
A320,000183.png,1,1092.47,905.005
A320,000184.png,0,,
A320,000185.png,1,1091.09,904.779
A320,000186.png,1,1095.59,903.995
ANAB787,000187.png,0,,
ANAB787,000188.png,0,,
ANAB787,000189.png,1,1282.21,307.647
ANAB787,000190.png,1,593.898,657.127
ANAB787,000191.png,1,583.98,678.607
ANAB787,000192.png,1,1256.36,407.704
ANAB787,000193.png,1,1255.37,439.71
ANAB787,000194.png,1,1258.19,483.874
ANAB787,000195.png,1,1264.97,541.158
ANAB787,000196.png,1,1268.71,585.711
ANAB787,000197.png,1,1270.69,597.445
ANAB787,000198.png,1,1253.41,611.178
ANAB787,000199.png,1,1244.28,641.925
ANAB787,000200.png,1,1184.35,685.622
ANAB787,000201.png,1,1164,717.237
ANAB787,000202.png,1,1156.12,727.867
ANAB787,000203.png,1,1141.87,738.546
ANAB787,000204.png,1,1150.3,764.877
ANAB787,000205.png,1,1153.33,777.864
ANAB787,000206.png,1,1150.4,776.72
ANAB787,000207.png,1,1148.41,809.379
ANAB787,000208.png,1,1153.72,844.422
ANAB787,000209.png,1,1162.57,837.575
ANAB787,000210.png,1,1151.84,840.746
ANAB787,000211.png,1,1163.2,838.566
ANAB787,000212.png,1,1143.27,804.566
ANAB787,000213.png,1,1164.82,812.128
ANAB787,000214.png,1,1155.06,805.502
ANAB787,000215.png,1,1159.89,808.73
ANAB787,000216.png,1,1163.49,821.717
ANAB787,000217.png,1,1174.59,859.618
ANAB787,000218.png,1,1160.84,855.336
ANAB787,000219.png,1,1165.95,860.21
ANAB787,000220.png,1,1155.06,865.963
ANAB787,000221.png,1,1165.58,875.782
ANAB787,000222.png,1,1169.69,875.494
ANAB787,000223.png,1,1155.62,874.53
ANAB787,000224.png,1,1167.34,875.525
ANAB787,000225.png,1,1167.73,875.65
ANAB787,000226.png,1,1169.18,875.451
ANAB787,000227.png,1,1167.57,875.899
ANAB787,000228.png,1,1169.17,876.031
ANAB787,000229.png,1,1161.06,876.42
B787,000125.png,1,865.273,561.137
B787,000126.png,1,841.456,572.347
B787,000127.png,1,820.866,581.581
B787,000128.png,1,800.72,590.145
B787,000129.png,1,1562.61,330.864
B787,000130.png,1,1519.4,341.132
B787,000131.png,1,1470.32,360.648
B787,000132.png,1,1420.76,385.677
B787,000133.png,1,1368.87,410.895
B787,000134.png,1,1308.68,430.047
B787,000135.png,1,1248.46,449.166
B787,000136.png,1,1229.06,451.241
B787,000137.png,1,1154.49,443.094
B787,000138.png,1,1160.1,443.393
B787,000139.png,1,1159.72,451.989
B787,000140.png,1,1156.92,460.668
B787,000141.png,1,1149.05,493.61
B787,000142.png,1,1137.89,534.618
B787,000143.png,1,1125.37,592.354
B787,000144.png,1,1122.39,618.581
B787,000145.png,1,1125.09,636.029
B787,000146.png,0,,
B787,000147.png,0,,
B787,000148.png,0,,
B787,000149.png,1,1110.5,783.15
B787,000150.png,0,,
B787,000151.png,0,,
B787,000152.png,0,,
B787,000153.png,0,,
B787,000154.png,1,1112.11,840.907
B787,000155.png,1,1110.12,835.69
B787,000156.png,0,,
B787,000157.png,1,1127.03,868.525
B787,000158.png,0,,
B787,000159.png,0,,
B787,000160.png,1,1119.21,863.077
B787,000161.png,0,,
B787,000162.png,1,1106.89,830.884
B787,000163.png,1,1106.52,830.797
B787,000164.png,1,1103.15,827.02
B787,000165.png,1,1121.19,851.42
B787,000166.png,1,1150.42,886.279
B787,000167.png,0,,
B787,000168.png,0,,
B787,000169.png,1,1148.11,874.322
B787,000170.png,1,1145.72,870.914
B787,000171.png,0,,
B787,000172.png,0,,
B787,000173.png,1,1157.44,888.362
B787,000174.png,1,1156.51,888.478
B787,000175.png,1,1156.97,888.784
B787,000176.png,1,1158.69,888.714
B787,000177.png,1,1157.94,888.202
MASB737,000184.png,1,561,948.874
MASB737,000185.png,1,1644.1,502.317
MASB737,000186.png,1,1640.82,508.478
MASB737,000187.png,0,,
MASB737,000188.png,1,1646.98,523.95
MASB737,000189.png,0,,
MASB737,000190.png,0,,
MASB737,000191.png,0,,
MASB737,000192.png,0,,
MASB737,000193.png,0,,
MASB737,000194.png,0,,
MASB737,000195.png,0,,
MASB737,000196.png,0,,
MASB737,000197.png,0,,
MASB737,000198.png,0,,
MASB737,000199.png,0,,
MASB737,000200.png,0,,
MASB737,000201.png,0,,
MASB737,000202.png,0,,
MASB737,000203.png,0,,
MASB737,000204.png,0,,
MASB737,000205.png,0,,
MASB737,000206.png,0,,
MASB737,000207.png,0,,
MASB737,000208.png,0,,
MASB737,000209.png,0,,
MASB737,000210.png,0,,
MASB737,000211.png,0,,
MASB737,000212.png,0,,
MASB737,000213.png,0,,
MASB737,000214.png,0,,
MASB737,000215.png,0,,
MASB737,000216.png,0,,
MASB737,000217.png,0,,
MASB737,000218.png,0,,
MASB737,000219.png,0,,
MASB737,000220.png,0,,
MASB737,000221.png,0,,
MASB737,000222.png,0,,
MASB737,000223.png,0,,
MASB737,000224.png,0,,
MASB737,000225.png,0,,
MASB737,000226.png,0,,
MASB737,000227.png,0,,
MASB737,000228.png,0,,
MASB737,000229.png,0,,
MASB737,000230.png,0,,
MASB737,000231.png,0,,
MASB737,000232.png,0,,
MASB737,000233.png,0,,
MASB737,000234.png,0,,
MASB737,000235.png,0,,
MASB737,000236.png,0,,
MASB737,000237.png,0,,
MASB737,000238.png,0,,
MASB737,000239.png,0,,
MASB737,000240.png,0,,
MASB737,000241.png,0,,
MASB737,000242.png,0,,
ScootB787,000165.png,0,,
ScootB787,000166.png,0,,
ScootB787,000167.png,0,,
ScootB787,000168.png,0,,
ScootB787,000169.png,0,,
ScootB787,000170.png,0,,
ScootB787,000171.png,1,1254.28,687.227
ScootB787,000172.png,1,1210.1,700.712
ScootB787,000173.png,1,1215.52,701.011
ScootB787,000174.png,0,,
ScootB787,000175.png,1,1203.28,709.601
ScootB787,000176.png,1,1167.58,727.974
ScootB787,000177.png,1,1181.89,753.322
ScootB787,000178.png,1,1146.39,770.942
ScootB787,000179.png,1,1141.1,794.67
ScootB787,000180.png,1,1133.49,818.574
ScootB787,000181.png,0,,
ScootB787,000182.png,0,,
ScootB787,000183.png,0,,
ScootB787,000184.png,0,,
ScootB787,000185.png,0,,
ScootB787,000186.png,1,1194.73,848.071
ScootB787,000187.png,0,,
ScootB787,000188.png,0,,
ScootB787,000189.png,0,,
ScootB787,000190.png,0,,
ScootB787,000191.png,0,,
ScootB787,000192.png,0,,
ScootB787,000193.png,0,,
ScootB787,000194.png,0,,
ScootB787,000195.png,0,,
ScootB787,000196.png,0,,
ScootB787,000197.png,0,,
ScootB787,000198.png,0,,
ScootB787,000199.png,0,,
ScootB787,000200.png,0,,
ScootB787,000201.png,0,,
ScootB787,000202.png,0,,
ScootB787,000203.png,0,,
ScootB787,000204.png,0,,
ScootB787,000205.png,0,,
ScootB787,000206.png,0,,
ScootB787,000207.png,0,,
ScootB787,000208.png,0,,
ScootB787,000209.png,0,,
ScootB787,000210.png,0,,
ScootB787,000211.png,0,,
ScootB787PBB,000164-2.png,0,,
ScootB787PBB,000165.png,0,,
ScootB787PBB,000166.png,0,,
ScootB787PBB,000167.png,0,,
ScootB787PBB,000168-2.png,1,1391.7,375.675
ScootB787PBB,000169.png,1,1383.01,380.534
ScootB787PBB,000170.png,1,1371.72,392.378
ScootB787PBB,000171.png,1,1364.87,398.72
ScootB787PBB,000172-2.png,1,1361.03,398.907
ScootB787PBB,000173.png,1,1354.03,416.601
ScootB787PBB,000174.png,0,,
ScootB787PBB,000175.png,0,,
ScootB787PBB,000176-2.png,0,,
ScootB787PBB,000177.png,0,,
ScootB787PBB,000178.png,0,,
ScootB787PBB,000179.png,0,,
ScootB787PBB,000180-2.png,0,,
ScootB787PBB,000181.png,0,,
ScootB787PBB,000182.png,0,,
ScootB787PBB,000183-2.png,0,,
ScootB787PBB,000184.png,0,,
ScootB787PBB,000185.png,0,,
ScootB787PBB,000186-2.png,0,,
ScootB787PBB,000187.png,0,,
ScootB787PBB,000188.png,0,,
ScootB787PBB,000189-2.png,0,,
ScootB787PBB,000190.png,0,,
ScootB787PBB,000191.png,0,,
ScootB787PBB,000192.png,0,,
ScootB787PBB,000193.png,0,,
ScootB787PBB,000194.png,0,,
ScootB787PBB,000195.png,0,,
ScootB787PBB,000196.png,0,,
ScootB787PBB,000197.png,0,,
ScootB787PBB,000198.png,0,,
ScootB787PBB,000199.png,0,,
ScootB787PBB,000200.png,0,,
ScootB787PBB,000201.png,0,,
ScootB787PBB,000202.png,0,,
ScootB787PBB,000203.png,0,,
ScootB787PBB,000204.png,0,,
ScootB787PBB,000205.png,0,,
ScootB787PBB,000206.png,0,,
ScootB787PBB,000207.png,0,,
ScootB787PBB,000208.png,0,,
ScootB787PBB,000209.png,0,,
ScootB787PBB,000210.png,0,,
ScootB787PBB,000211.png,0,,
ScootB787PBB,000212.png,1,1140.68,866.37
ScootB787PBB,000213.png,1,1211.18,864.487
ScootB787PBB,000214.png,1,1136.69,865.392
ScootB787PBB,000215.png,1,1139.24,865.572
ScootB787PBB,000216.png,1,1230.43,869.035
ScootB787PBB,000217.png,0,,
ScootB787PBB,000218.png,0,,
ScootB787PBB,000219.png,1,1210.54,887.049
ScootB787PBB,000220.png,1,1212.09,887.196
ScootB787PBB,000221.png,1,1209.25,894.257
ScootB787PBB,000222.png,1,1209.06,895.382
ScootB787PBB,000223.png,1,1211.6,895.479
ScootB787PBB,000224.png,1,1208.69,895.355
ScootB787PBB,000225.png,1,1210.68,895.216
ScootB787PBB,000226.png,1,1213.01,894.778
ScootB787PBB,000227-2.png,1,1213.06,894.706
ScootB787PBB,000228.png,1,1213.03,894.834
SilkAirB737,000104.png,0,,
SilkAirB737,000105.png,1,1163.8,581.459
SilkAirB737,000106.png,1,1166.19,616.631
SilkAirB737,000107.png,0,,
SilkAirB737,000108.png,1,1167.31,614.827
SilkAirB737,000109.png,0,,
SilkAirB737,000110.png,1,1160.91,600.26
SilkAirB737,000111.png,1,704.428,758.836
SilkAirB737,000112.png,1,1141.67,679.935
SilkAirB737,000113.png,1,1127.71,721.477
SilkAirB737,000114.png,1,1125.92,736.757
SilkAirB737,000115.png,1,1085.03,729.358
SilkAirB737,000116.png,1,1088.82,737.169
SilkAirB737,000117.png,1,1092.42,756.421
SilkAirB737,000118.png,1,1091.85,752.807
SilkAirB737,000119.png,1,1083.52,752.179
SilkAirB737,000120.png,1,1093.97,781.901
SilkAirB737,000121.png,1,1085.32,817.078
SilkAirB737,000122.png,1,1084.75,851.503
SilkAirB737,000123.png,1,1085.76,888.066
SilkAirB737,000124.png,1,1081.24,886.18
SilkAirB737,000125.png,1,1080.66,886.153
SilkAirB737,000126.png,1,1086.41,889.695
SilkAirB737,000127.png,1,1085.93,888.997
SilkAirB737,000128.png,1,1086.21,889.003
SilkAirB737,000129.png,1,1086.01,889.005
SilkAirB737,000130.png,1,1086.02,888.969
SilkAirB737,000131.png,0,,
SilkAirB737,000132.png,1,1084.34,888.685
SilkAirB737,000133.png,1,1085.81,888.382
SilkAirB737,000134.png,1,1085.65,888.354
SilkAirB737,000135.png,1,1085.54,888.354
SilkAirB737,000136.png,1,1085.24,888.367
SilkAirB737,000137.png,1,1085.14,888.372
SilkAirB737,000138.png,1,1085.59,888.122
SilkAirB737,000139.png,1,1086.31,888.155
SQB772,000125-1.png,1,1029.28,727.508
SQB772,000126-1.png,1,1616.83,283.114
SQB772,000127.png,0,,
SQB772,000128.png,1,1506.55,297.378
SQB772,000129-1.png,0,,
SQB772,000130.png,1,1381.58,327.75
SQB772,000131.png,1,1305.86,347.134
SQB772,000132-1.png,1,1242.07,358.545
