Flight,Image,Feature,Condition,Result
A320,000156.png,STRAIGHTARROW,,Pass
A320,000157.png,STRAIGHTARROW,,Pass
A320,000158.png,STRAIGHTARROW,,Pass
A320,000159.png,STRAIGHTARROW,,Pass
A320,000160.png,STRAIGHTARROW,,Pass
A320,000161.png,STRAIGHTARROW,,Not Detected
A320,000162.png,STRAIGHTARROW,,Pass
A320,000163.png,STRAIGHTARROW,,Pass
A320,000164.png,STRAIGHTARROW,,Pass
A320,000165.png,STRAIGHTARROW,,Pass
A320,000166.png,STRAIGHTARROW,,Pass
A320,000167.png,STRAIGHTARROW,,Pass
A320,000168.png,STRAIGHTARROW,,Pass
A320,000169.png,STRAIGHTARROW,,Pass
A320,000170.png,STRAIGHTARROW,,Pass
A320,000171.png,STRAIGHTARROW,,Pass
A320,000172.png,STRAIGHTARROW,,Pass
A320,000173.png,STRAIGHTARROW,,Pass
A320,000174.png,STRAIGHTARROW,,Pass
A320,000175.png,STRAIGHTARROW,,Pass
A320,000176.png,STRAIGHTARROW,,Pass
A320,000177.png,STRAIGHTARROW,,Pass
A320,000178.png,STRAIGHTARROW,,Pass
A320,000179.png,STRAIGHTARROW,,Pass
A320,000180.png,STRAIGHTARROW,,Pass
A320,000181.png,STRAIGHTARROW,,Pass
A320,000182.png,STRAIGHTARROW,,Pass
A320,000183.png,STRAIGHTARROW,,Pass
A320,000184.png,STRAIGHTARROW,,Pass
A320,000185.png,STRAIGHTARROW,,Pass
A320,000186.png,STRAIGHTARROW,,Pass
