Feature,Flight,Image,PassFail,X,Y
CurvedArrow,A320,000156.png,0,,
CurvedArrow,A320,000157.png,1,1276, 314
CurvedArrow,A320,000158.png,1,1267, 310
CurvedArrow,A320,000159.png,0,,
CurvedArrow,A320,000160.png,1,1275, 312
CurvedArrow,A320,000161.png,0,,
CurvedArrow,A320,000162.png,0,,
CurvedArrow,A320,000163.png,0,,
CurvedArrow,A320,000164.png,0,,
CurvedArrow,A320,000165.png,0,,
CurvedArrow,A320,000166.png,1,1281, 457
CurvedArrow,A320,000167.png,0,,
CurvedArrow,A320,000168.png,0,,
CurvedArrow,A320,000169.png,0,,
CurvedArrow,A320,000170.png,0,,
CurvedArrow,A320,000171.png,1,1309, 516
CurvedArrow,A320,000172.png,1,1305, 516
CurvedArrow,A320,000173.png,1,1309, 514
CurvedArrow,A320,000174.png,1,1313, 508
CurvedArrow,A320,000175.png,0,,
CurvedArrow,A320,000176.png,1,1315, 533
CurvedArrow,A320,000177.png,0,,
CurvedArrow,A320,000178.png,0,,
CurvedArrow,A320,000179.png,1,1311, 552
CurvedArrow,A320,000180.png,1,1313, 561
CurvedArrow,A320,000181.png,0,,
CurvedArrow,A320,000182.png,1,1312, 568
CurvedArrow,A320,000183.png,1,1313, 568
CurvedArrow,A320,000184.png,1,1318, 569
CurvedArrow,A320,000185.png,1,1312, 568
CurvedArrow,A320,000186.png,1,1311, 568
CurvedArrow,ANAB787,000187.png,0,,
CurvedArrow,ANAB787,000188.png,0,,
CurvedArrow,ANAB787,000189.png,0,,
CurvedArrow,ANAB787,000190.png,0,,
CurvedArrow,ANAB787,000191.png,0,,
CurvedArrow,ANAB787,000192.png,0,,
CurvedArrow,ANAB787,000193.png,0,,
CurvedArrow,ANAB787,000194.png,0,,
CurvedArrow,ANAB787,000195.png,0,,
CurvedArrow,ANAB787,000196.png,1,1325, 143
CurvedArrow,ANAB787,000197.png,1,1322, 152
CurvedArrow,ANAB787,000198.png,1,1308, 161
CurvedArrow,ANAB787,000199.png,1,1293, 183
CurvedArrow,ANAB787,000200.png,1,1221, 214
CurvedArrow,ANAB787,000201.png,1,1189, 239
CurvedArrow,ANAB787,000202.png,1,1180, 247
CurvedArrow,ANAB787,000203.png,1,1177, 258
CurvedArrow,ANAB787,000204.png,1,1175, 278
CurvedArrow,ANAB787,000205.png,1,1181, 289
CurvedArrow,ANAB787,000206.png,1,1176, 289
CurvedArrow,ANAB787,000207.png,1,1196, 319
CurvedArrow,ANAB787,000208.png,1,1211, 353
CurvedArrow,ANAB787,000209.png,1,1135, 109
CurvedArrow,ANAB787,000210.png,1,1207, 349
CurvedArrow,ANAB787,000211.png,1,1209, 346
CurvedArrow,ANAB787,000212.png,1,1191, 316
CurvedArrow,ANAB787,000213.png,1,1200, 320
CurvedArrow,ANAB787,000214.png,1,1186, 315
CurvedArrow,ANAB787,000215.png,1,1189, 320
CurvedArrow,ANAB787,000216.png,1,1198, 340
CurvedArrow,ANAB787,000217.png,1,1227, 382
CurvedArrow,ANAB787,000218.png,1,1216, 380
CurvedArrow,ANAB787,000219.png,1,1213, 384
CurvedArrow,ANAB787,000220.png,1,1214, 391
CurvedArrow,ANAB787,000221.png,1,1213, 399
CurvedArrow,ANAB787,000222.png,1,1216, 400
CurvedArrow,ANAB787,000223.png,1,1217, 400
CurvedArrow,ANAB787,000224.png,1,1217, 400
CurvedArrow,ANAB787,000225.png,1,1217, 400
CurvedArrow,ANAB787,000226.png,1,1216, 400
CurvedArrow,ANAB787,000227.png,1,1216, 400
CurvedArrow,ANAB787,000228.png,1,1215, 400
CurvedArrow,ANAB787,000229.png,1,1215, 400
CurvedArrow,B787,000125.png,1,1268, 264
CurvedArrow,B787,000126.png,0,,
CurvedArrow,B787,000127.png,0,,
CurvedArrow,B787,000128.png,0,,
CurvedArrow,B787,000129.png,1,1087, 347
CurvedArrow,B787,000130.png,1,890, 323
CurvedArrow,B787,000131.png,0,,
CurvedArrow,B787,000132.png,0,,
CurvedArrow,B787,000133.png,1,697, 407
CurvedArrow,B787,000134.png,1,625, 429
CurvedArrow,B787,000135.png,0,,
CurvedArrow,B787,000136.png,0,,
CurvedArrow,B787,000137.png,1,1188, 73
CurvedArrow,B787,000138.png,0,,
CurvedArrow,B787,000139.png,0,,
CurvedArrow,B787,000140.png,0,,
CurvedArrow,B787,000141.png,0,,
CurvedArrow,B787,000142.png,1,1172, 30
CurvedArrow,B787,000143.png,1,1159, 73
CurvedArrow,B787,000144.png,1,1156, 99
CurvedArrow,B787,000145.png,1,1160, 120
CurvedArrow,B787,000146.png,1,1170, 160
CurvedArrow,B787,000147.png,1,1176, 207
CurvedArrow,B787,000148.png,1,1209, 264
CurvedArrow,B787,000149.png,1,1150, 248
CurvedArrow,B787,000150.png,1,1139, 251
CurvedArrow,B787,000151.png,1,1147, 272
CurvedArrow,B787,000152.png,1,1150, 300
CurvedArrow,B787,000153.png,1,1145, 330
CurvedArrow,B787,000154.png,1,1149, 323
CurvedArrow,B787,000155.png,1,1154, 294
CurvedArrow,B787,000156.png,1,1150, 293
CurvedArrow,B787,000157.png,1,1181, 325
CurvedArrow,B787,000158.png,1,1182, 329
CurvedArrow,B787,000159.png,1,1181, 324
CurvedArrow,B787,000160.png,1,1170, 319
CurvedArrow,B787,000161.png,1,1150, 332
CurvedArrow,B787,000162.png,1,1148, 289
CurvedArrow,B787,000163.png,1,1148, 288
CurvedArrow,B787,000164.png,1,1141, 285
CurvedArrow,B787,000165.png,1,1174, 308
CurvedArrow,B787,000166.png,1,1214, 369
CurvedArrow,B787,000167.png,1,1204, 336
CurvedArrow,B787,000168.png,1,1222, 338
CurvedArrow,B787,000169.png,1,1216, 318
CurvedArrow,B787,000170.png,1,1210, 308
CurvedArrow,B787,000171.png,1,1216, 357
CurvedArrow,B787,000172.png,1,1233, 326
CurvedArrow,B787,000173.png,1,1232, 326
CurvedArrow,B787,000174.png,1,1232, 326
CurvedArrow,B787,000175.png,1,1219, 353
CurvedArrow,B787,000176.png,1,1215, 357
CurvedArrow,B787,000177.png,1,1232, 326
CurvedArrow,MASB737,000184.png,0,,
CurvedArrow,MASB737,000185.png,0,,
CurvedArrow,MASB737,000186.png,1,692, 41
CurvedArrow,MASB737,000187.png,1,691, 42
CurvedArrow,MASB737,000188.png,0,,
CurvedArrow,MASB737,000189.png,1,1591, 567
CurvedArrow,MASB737,000190.png,1,1607, 590
CurvedArrow,MASB737,000191.png,0,,
