Flight,Image,PassFail,X,Y
A320,000156.png,1,1854.69,226.197
A320,000157.png,1,1878.34,265.989
A320,000158.png,1,1874.67,248.594
A320,000159.png,1,1878.88,251.989
A320,000160.png,1,1878.02,264.23
A320,000161.png,1,1881.26,252.531
A320,000162.png,1,1880.2,288.701
A320,000163.png,1,178.342,272.554
A320,000164.png,0,,
A320,000165.png,0,,
A320,000166.png,1,109.353,321.854
A320,000167.png,1,104.31,333.716
A320,000168.png,0,,
A320,000169.png,0,,
A320,000170.png,0,,
A320,000171.png,1,76.8438,356.138
A320,000172.png,1,78.5391,361.618
A320,000173.png,0,,
A320,000174.png,0,,
A320,000175.png,0,,
A320,000176.png,0,,
A320,000177.png,0,,
A320,000178.png,0,,
A320,000179.png,0,,
A320,000180.png,0,,
A320,000181.png,0,,
A320,000182.png,0,,
A320,000183.png,0,,
A320,000184.png,1,1819.55,450.371
A320,000185.png,1,1815.94,453.084
A320,000186.png,1,1815.12,451.885
ANAB787,000187.png,1,101.68,149.542
ANAB787,000188.png,0,,
ANAB787,000189.png,1,77.0032,410.061
ANAB787,000190.png,1,329.72,51.9798
ANAB787,000191.png,1,168.6,102.199
ANAB787,000192.png,1,162.46,119.854
ANAB787,000193.png,1,1863.84,95.2388
ANAB787,000194.png,1,1251.09,834.901
ANAB787,000195.png,1,540.253,826.488
ANAB787,000196.png,1,1511.52,153.533
ANAB787,000197.png,1,1511.54,162.657
ANAB787,000198.png,1,1502.16,169.635
ANAB787,000199.png,1,1493.11,191.103
ANAB787,000200.png,1,1438.02,216.968
ANAB787,000201.png,1,1416.89,241.247
ANAB787,000202.png,1,1412.9,246.058
ANAB787,000203.png,1,1412.6,255.912
ANAB787,000204.png,1,1417.89,277.367
ANAB787,000205.png,1,1427.74,287.115
ANAB787,000206.png,1,1422.93,286.765
ANAB787,000207.png,1,1448.92,318.794
ANAB787,000208.png,1,1471.96,351.525
ANAB787,000209.png,1,1460.9,341.469
ANAB787,000210.png,1,1469.15,344.945
ANAB787,000211.png,1,1468.8,342.511
ANAB787,000212.png,1,1443.03,314.853
ANAB787,000213.png,1,1455.24,317.179
ANAB787,000214.png,1,1439.45,312.087
ANAB787,000215.png,1,1440.58,315.98
ANAB787,000216.png,1,1447.18,335.39
ANAB787,000217.png,1,1481.36,377.262
ANAB787,000218.png,1,1469.86,375.214
ANAB787,000219.png,1,1466.93,377.984
ANAB787,000220.png,1,1470.64,384.231
ANAB787,000221.png,1,1472.93,390.109
ANAB787,000222.png,1,1474.09,392.177
ANAB787,000223.png,1,1475.23,391.571
ANAB787,000224.png,1,1474.64,392.61
ANAB787,000225.png,1,1474.44,392.63
ANAB787,000226.png,1,1474.02,392.279
ANAB787,000227.png,1,1474.03,391.798
ANAB787,000228.png,1,1474.52,391.75
ANAB787,000229.png,1,1474.15,392.056
B787,000125.png,0,,
B787,000126.png,1,44.053,80.6089
B787,000127.png,0,,
B787,000128.png,0,,
B787,000129.png,1,51.4422,107.554
B787,000130.png,0,,
B787,000131.png,0,,
B787,000132.png,1,221.418,99.7919
B787,000133.png,0,,
B787,000134.png,1,57.7891,118.153
B787,000135.png,1,1858.49,100.75
B787,000136.png,1,111.51,123.809
B787,000137.png,0,,
B787,000138.png,0,,
B787,000139.png,1,467.432,281.622
