Center_X,Center_Y,Radius,No,Flight
1221,154,51,1,A320
1240,182,48,2,A320
1225,176,43,3,A320
1235,175,48,4,A320
1238,174,55,5,A320
1237,179,53,6,A320
1244,198,44,7,A320
1252,222,57,8,A320
1269,250,45,9,A320
1240,273,49,10,A320
1246,305,58,11,A320
1247,325,68,12,A320
1250,307,51,13,A320
1245,301,49,14,A320
1262,340,55,15,A320
1270,350,66,16,A320
1262,346,71,17,A320
1259,349,67,18,A320
1261,346,70,19,A320
1267,359,71,20,A320
1264,362,71,21,A320
1260,368,70,22,A320
1265,371,68,23,A320
1265,379,73,24,A320
1266,393,70,25,A320
1270,401,74,26,A320
1272,394,69,27,A320
1273,395,68,28,A320
1266,396,71,29,A320
1272,394,54,30,A320
1265,398,72,31,A320
1334,60,41,1,TigerAirA320
1340,56,47,2,TigerAirA320
1351,56,44,3,TigerAirA320
1338,55,47,4,TigerAirA320
1318,65,50,5,TigerAirA320
1300,96,54,6,TigerAirA320
1277,136,55,7,TigerAirA320
1250,181,59,8,TigerAirA320
1228,219,66,9,TigerAirA320
1219,215,60,10,TigerAirA320
1250,217,64,11,TigerAirA320
1252,224,60,12,TigerAirA320
1244,247,63,13,TigerAirA320
1232,275,68,14,TigerAirA320
1226,291,58,15,TigerAirA320
1236,290,61,16,TigerAirA320
1198,292,56,17,TigerAirA320
1182,290,70,18,TigerAirA320
1172,299,68,19,TigerAirA320
1174,298,70,20,TigerAirA320
1197,300,69,21,TigerAirA320
1199,302,71,22,TigerAirA320
1194,297,68,23,TigerAirA320
1213,324,53,24,TigerAirA320
1205,322,70,25,TigerAirA320
1201,325,73,26,TigerAirA320
1207,322,70,27,TigerAirA320
1204,322,68,28,TigerAirA320
1200,346,66,29,TigerAirA320
1196,337,72,30,TigerAirA320
1191,339,71,31,TigerAirA320
1205,342,69,32,TigerAirA320
1193,335,75,33,TigerAirA320
1199,336,64,34,TigerAirA320
1188,341,70,35,TigerAirA320
1196,348,55,36,TigerAirA320
1195,351,60,37,TigerAirA320
1192,345,55,38,TigerAirA320
1202,350,72,39,TigerAirA320
1203,350,70,40,TigerAirA320
1204,356,65,41,TigerAirA320
1203,350,72,42,TigerAirA320
1200,353,70,43,TigerAirA320
1203,350,74,44,TigerAirA320
1202,354,71,45,TigerAirA320
1207,354,56,46,TigerAirA320
1200,361,55,47,TigerAirA320
1199,369,65,48,TigerAirA320
1187,362,61,49,TigerAirA320
1189,356,55,50,TigerAirA320
1189,368,62,51,TigerAirA320
1185,364,72,52,TigerAirA320
1189,365,73,53,TigerAirA320
1191,364,56,54,TigerAirA320
1188,363,56,55,TigerAirA320
1188,366,56,56,TigerAirA320
